url,status,redirect_to,depth,source,title,canonical,meta_robots,last_modified,outlinks,words
https://fountainheadschools.org/studentlife/services/well-being-counselling/,200,,1,both,Well-being-Counselling - Fountainhead School,https://fountainheadschools.org/studentlife/services/well-being-counselling/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T13:20:35+05:30,77,554
https://fountainheadschools.org/terms-and-conditions/,200,,1,both,Terms and Conditions - Fountainhead School,https://fountainheadschools.org/terms-and-conditions/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2026-02-11T10:39:08+05:30,77,1928
https://fountainheadschools.org/testimonial/,200,,1,both,Testimonial - Fountainhead School,https://fountainheadschools.org/testimonial/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-07-15T13:36:30+05:30,77,330
https://fountainheadschools.org/the-best-skill-development-initiative-2023/,200,,1,both,The Best Skill Development Initiative 2023 - Fountainhead School,https://fountainheadschools.org/the-best-skill-development-initiative-2023/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T09:20:05+05:30,88,473
https://fountainheadschools.org/2024/09/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2024/10/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2024/12/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/01/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/02/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/03/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/04/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/05/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/07/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/08/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/10/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
https://fountainheadschools.org/2025/11/,301,https://fountainheadschools.org,2,crawl,,,,,0,0
